GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US01,1,Alabama,0.4811,0.0045
0400000US02,2,Alaska,0.4322,0.0135
0400000US04,4,Arizona,0.4702,0.0043
0400000US05,5,Arkansas,0.4773,0.0062
0400000US06,6,California,0.4876,0.0017
0400000US08,8,Colorado,0.458,0.0045
0400000US09,9,Connecticut,0.4916,0.0043
0400000US10,10,Delaware,0.4523,0.0123
0400000US11,11,District of Columbia,0.5354,0.0156
0400000US12,12,Florida,0.4872,0.0027
0400000US13,13,Georgia,0.4801,0.0036
0400000US15,15,Hawaii,0.4346,0.0071
0400000US16,16,Idaho,0.4525,0.0105
0400000US17,17,Illinois,0.4817,0.0026
0400000US18,18,Indiana,0.4519,0.0044
0400000US19,19,Iowa,0.4393,0.0046
0400000US20,20,Kansas,0.4596,0.0074
0400000US21,21,Kentucky,0.4781,0.0053
0400000US22,22,Louisiana,0.4909,0.0045
0400000US23,23,Maine,0.4523,0.0102
0400000US24,24,Maryland,0.4524,0.0036
0400000US25,25,Massachusetts,0.4848,0.0039
0400000US26,26,Michigan,0.4667,0.0029
0400000US27,27,Minnesota,0.4492,0.0035
0400000US28,28,Mississippi,0.4759,0.006
0400000US29,29,Missouri,0.4634,0.0044
0400000US30,30,Montana,0.4623,0.0091
0400000US31,31,Nebraska,0.4473,0.0067
0400000US32,32,Nevada,0.4548,0.0066
0400000US33,33,New Hampshire,0.4347,0.0081
0400000US34,34,New Jersey,0.4832,0.0031
0400000US35,35,New Mexico,0.4795,0.0065
0400000US36,36,New York,0.5138,0.0029
0400000US37,37,North Carolina,0.4776,0.0036
0400000US38,38,North Dakota,0.4664,0.012
0400000US39,39,Ohio,0.4637,0.0034
0400000US40,40,Oklahoma,0.4702,0.0045
0400000US41,41,Oregon,0.4622,0.0046
0400000US42,42,Pennsylvania,0.4685,0.0025
0400000US44,44,Rhode Island,0.4732,0.0094
0400000US45,45,South Carolina,0.4698,0.005
0400000US46,46,South Dakota,0.4436,0.0093
0400000US47,47,Tennessee,0.4789,0.0046
0400000US48,48,Texas,0.4823,0.0021
0400000US49,49,Utah,0.4252,0.0051
0400000US50,50,Vermont,0.4452,0.0102
0400000US51,51,Virginia,0.4681,0.003
0400000US53,53,Washington,0.4561,0.0038
0400000US54,54,West Virginia,0.4581,0.0059
0400000US55,55,Wisconsin,0.441,0.0032
0400000US56,56,Wyoming,0.4374,0.0153
0400000US72,72,Puerto Rico,0.5589,0.0077